iucn_sid,eez_km2,nms_km2,terr_km2
187746,4100,0,3900
187759,3800,0,3600
187762,4100,0,3900
187763,4100,0,3900
187765,3900,0,3700
187767,136700,91900,24100
187772,3800,0,3600
187780,4100,0,3900
187783,4100,0,3900
187784,4100,0,3900
187786,136700,91900,24100
187801,4100,0,3900
187802,4100,0,3900
187810,3800,0,3600
187935,136700,91900,24100
188101,4100,0,3900
188340,4100,0,3900
188343,4100,0,3900
188366,4100,0,3900
188371,3100,0,2900
188382,4100,0,3900
188398,4100,0,3900
188425,4100,0,3900
188430,4100,0,3900
188445,4100,0,3900
188453,4100,0,3900
188467,4100,0,3900
188491,4100,0,3900
188511,4100,0,3900
188528,3800,0,3600
188537,4100,0,3900
188546,3800,0,3600
188557,4100,0,3900
188580,4100,0,3900
188590,4100,0,3900
188609,4100,0,3900
189818,616200,476200,24200
190067,613600,476200,21800
190073,179400,131500,24200
190080,616200,476200,24200
190099,433900,301900,16200
190116,616200,476200,24200
190117,4100,0,3900
190118,605500,465500,24200
190123,4100,0,3900
190131,460800,371200,24000
190147,100,0,100
190154,616200,476200,24200
190164,4100,0,3900
190180,616200,476200,24200
190183,136400,91700,24100
190190,136400,91700,24100
190193,136400,91700,24100
190197,616200,476200,24200
190201,565800,425800,24200
190232,612800,476200,21000
190255,136400,91700,24100
190260,616200,476200,24200
190261,616200,476200,24200
190287,177100,131500,21900
190292,608700,468700,24200
190298,616200,476200,24200
190300,616200,476200,24200
190310,616200,476200,24200
190311,616200,476200,24200
190316,616200,476200,24200
190321,267700,239200,11800
190324,616200,476200,24200
190359,19900,19900,0
190369,616200,476200,24200
190388,4100,0,3900
190391,3800,0,3600
190393,616200,476200,24200
190399,136400,91700,24100
190414,616200,476200,24200
190425,616200,476200,24200
190432,179400,131500,24200
190433,616200,476200,24200
190452,4100,0,3900
190461,616200,476200,24200
190464,616200,476200,24200
190480,506200,370800,24200
190685,4100,0,3900
190688,4100,0,3900
190691,4100,0,3900
190694,4100,0,3900
190695,4100,0,3900
190704,3800,0,3600
190707,3800,0,3600
190708,4100,0,3900
190711,3800,0,3600
190713,4100,0,3900
190717,4100,0,3900
190719,94500,54600,19200
190725,4100,0,3900
190726,3800,0,3600
190727,4100,0,3900
190728,4100,0,3900
190731,4100,0,3900
190736,4100,0,3900
190739,4100,0,3900
190740,4100,0,3900
190744,3800,0,3600
190745,4100,0,3900
190747,4100,0,3900
190749,4100,0,3900
190755,4100,0,3900
190756,4100,0,3900
190761,4000,0,3800
190762,4000,0,3800
192276,4100,0,3900
192296,4100,0,3900
192297,4100,0,3900
192298,4100,0,3900
192305,4100,0,3900
192316,4100,0,3900
192318,4100,0,3900
192321,4100,0,3900
192327,300,0,300
192334,4100,0,3900
192342,4100,0,3900
192356,4100,0,3900
192362,4100,0,3900
192367,4100,0,3900
192374,4100,0,3900
192378,4100,0,3900
192380,300,0,300
192383,4100,0,3900
192386,4100,0,3900
192392,300,0,300
192393,4100,0,3900
192407,300,0,300
192413,4100,0,3900
192416,4100,0,3900
192419,4100,0,3900
192420,4100,0,3900
192424,4100,0,3900
192428,4100,0,3900
192431,4100,0,3900
192433,300,0,300
192440,4100,0,3900
192460,4100,0,3900
192505,300,0,300
192506,4100,0,3900
192507,4100,0,3900
192521,4100,0,3900
192536,4100,0,3900
192538,4100,0,3900
192549,4100,0,3900
192562,4100,0,3900
192563,4100,0,3900
192564,136700,91900,24100
192567,4100,0,3900
192580,4100,0,3900
192586,4100,0,3900
192587,4100,0,3900
192590,4100,0,3900
192593,4100,0,3900
192603,300,0,300
192604,300,0,300
192605,300,0,300
192611,4100,0,3900
192634,4100,0,3900
192636,4100,0,3900
192654,300,0,300
192664,4100,0,3900
192674,4100,0,3900
192686,4100,0,3900
192694,4100,0,3900
192699,4100,0,3900
192700,4100,0,3900
192701,4100,0,3900
192704,4100,0,3900
192708,4100,0,3900
192714,300,0,300
192719,4100,0,3900
192722,4100,0,3900
192727,300,0,300
192729,4100,0,3900
192737,4100,0,3900
192743,4100,0,3900
192745,3800,0,3600
192754,4100,0,3900
192772,4100,0,3900
192778,4100,0,3900
192779,4100,0,3900
192786,4100,0,3900
192789,4100,0,3900
192793,4100,0,3900
192796,4100,0,3900
192811,4100,0,3900
192812,4100,0,3900
192813,4100,0,3900
192815,4100,0,3900
192819,4100,0,3900
192829,4100,0,3900
192843,4100,0,3900
192844,4100,0,3900
192847,4100,0,3900
192849,4100,0,3900
192853,4100,0,3900
192870,4100,0,3900
192873,3100,0,2900
192879,4100,0,3900
192982,4000,0,3800
192986,62700,29700,12400
192987,3800,0,3600
192998,4100,0,3900
193000,3800,0,3600
193002,4100,0,3900
193003,3800,0,3600
193009,86300,46800,19200
193013,136300,91600,24100
193016,3800,0,3600
193017,136300,91600,24100
193018,3100,0,2900
193020,136300,91600,24100
193024,3800,0,3600
193025,3800,0,3600
193028,136300,91600,24100
193032,136300,91600,24100
193035,4100,0,3900
193037,3800,0,3600
193039,3800,0,3600
193041,3800,0,3600
193043,136300,91600,24100
193057,3800,0,3600
193059,3800,0,3600
193060,136300,91600,24100
193062,3800,0,3600
193066,3800,0,3600
193067,3800,0,3600
193068,100,0,100
193073,4100,0,3900
193074,3800,0,3600
193075,4000,0,3800
193078,3800,0,3600
193082,3800,0,3600
193089,62700,29700,12400
193093,4000,0,3800
193107,3800,0,3600
193108,4100,0,3900
193114,3800,0,3600
193123,4100,0,3900
193127,3800,0,3600
193130,3800,0,3600
193131,3800,0,3600
193139,4100,0,3900
193143,3800,0,3600
193145,4100,0,3900
193148,4100,0,3900
193150,73600,61900,11700
193151,4100,0,3900
193152,4100,0,3900
193156,200,0,200
193159,3800,0,3600
193160,4100,0,3900
193162,4100,0,3900
193163,4100,0,3900
193167,4100,0,3900
193174,3800,0,3600
193175,3800,0,3600
193189,136300,91600,24100
193196,3800,0,3600
193203,3800,0,3600
